rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
576,8372,0.00012510370288509876,0.191060408949852,0.0005987745244055986,13,6,0.46153846153846156,3.2195121951219514,2.0076591968536377
577,2537,0.00012463328312151134,0.28302472829818726,0.0009300921228714287,15,9,0.6,4.365853658536586,1.7276113033294678
578,5541,0.00012449974019546062,0.3838452994823456,0.0011764797382056713,21,17,0.8095238095238095,4.7073170731707314,1.8571486473083496
579,5733,0.0001229507033713162,0.32965710759162903,0.0008048309828154743,13,9,0.6923076923076923,0.8780487804878049,2.2489662170410156
580,13760,0.00012205917300889269,0.261167049407959,0.0015816205414012074,6,5,0.8333333333333334,0.2682926829268293,2.5130417346954346
581,16002,0.00012153340503573418,0.38028615713119507,0.0009804299334064126,12,11,0.9166666666666666,1.3902439024390243,0.879810631275177
582,610,0.0001214317453559488,0.09195083379745483,0.0012302339309826493,25,6,0.24,1.3170731707317074,5.183089256286621
583,14818,0.0001209864130942151,0.16305364668369293,-0.0006553513230755925,18,12,0.6666666666666666,1.2926829268292683,3.2585878372192383
584,13269,0.00012089468509657308,0.30403825640678406,0.000938933459110558,20,14,0.7,1.048780487804878,1.900413155555725
585,9741,0.00011959525727434084,0.36222049593925476,0.0015031143557280302,18,14,0.7777777777777778,2.268292682926829,2.0817909240722656
586,6141,0.00011883862316608429,0.3455372750759125,0.0008055284270085394,9,8,0.8888888888888888,0.8048780487804879,3.4230029582977295
587,14811,0.00011854015610879287,0.3050544261932373,0.0007255002856254578,10,7,0.7,0.8048780487804879,3.7337396144866943
588,4724,0.00011800041829701513,0.2023020088672638,0.0005090851918794215,16,13,0.8125,0.9024390243902439,2.37632155418396
589,3718,0.00011752713908208534,0.39127519726753235,0.0009073818800970912,10,9,0.9,0.6585365853658537,4.42194128036499
590,12943,0.00011744434596039355,0.20344725251197815,0.0010887742973864079,16,11,0.6875,2.682926829268293,2.7343695163726807
591,8965,0.00011720546899596229,0.1190393790602684,0.0012949067167937756,16,7,0.4375,5.609756097560975,3.7763671875
